No.,Chap,Sect,#,Question,Section Name,Short Text,Question Type,Chemical,LNG,LPG,Oil,Conditional,Hardware Response Type,Human Response Type,Process Response Type,ROVIQ List
2.1.1,2,1,1,"Were the Master and senior officers familiar with the company procedure for maintaining the vessel’s statutory certification up to date, were all certificates and documents carried onboard up to date and was the vessel free of conditions of class or significant memoranda?",Certification,Maintenance of Statutory Certification,Core,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Documentation, Pre-board"
2.2.1,2,2,1,Had the vessel been attended by a company Superintendent at approximately six-monthly intervals and were reports available to demonstrate that a systematic vessel inspection had been completed during each attendance declared through the pre-inspection questionnaire?,Management Oversight,Superintendent vessel inspection and report,Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,None,Binary,Documentation
2.2.2,2,2,2,"Were recent ISM internal audit reports available on board, had corrective action been taken on board to close-out any non-conformities and had this corrective action been verified by shore management?",Management Oversight,Internal ISM audit,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Documentation
2.2.3,2,2,3,Was the Master fully conversant with the company’s Safety Management System and had Master’s Reviews of the system taken place in accordance with the ISM Code and company procedures?,Management Oversight,Master's Review of the SMS.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Documentation
2.3.1,2,3,1,"Were the Master and Chief Engineer familiar with the company procedure to maintain the Enhanced Survey File in accordance with Classification Society rules, and was the vessel free of any visible or documentary evidence of concerns with the structural condition of the hull or cargo and ballast tank coatings?",Structural Assessment,Structural concerns and Enhanced Survey File.,Core,TRUE,FALSE,FALSE,TRUE,FALSE,Graduated,Graduated,Graduated,"Documentation, Main Deck, Pre-board"
2.3.2,2,3,2,"Were the Master and Chief Engineer familiar with the company procedure to maintain the Class Survey File, and was the vessel free of any visible or documentary evidence of concerns with the structural condition of the hull or hold space and ballast tank coatings?",Structural Assessment,Structural concerns and Class Survey File.,Core,FALSE,TRUE,TRUE,FALSE,FALSE,Graduated,Graduated,Graduated,"Documentation, Main Deck, Pre-board"
2.3.3,2,3,3,"Were the Master and senior officers familiar with the company cargo, ballast & void space inspection and reporting procedure and, were records available to demonstrate that all inspections had been accomplished within the required time frame with reports completed in accordance with company instructions?",Structural Assessment,"Cargo, ballast & void space inspection",Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Documentation"
2.3.4,2,3,4,"Were the Master and deck officers familiar with the company procedures for detecting leakage of liquids between cargo, bunker, ballast, void and cofferdam spaces which included inspecting the surface of ballast water prior to discharge, and were records available to show that the necessary checks had been performed?",Structural Assessment,"Monitoring cargo, ballast & void spaces for leakage and contamination",Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
2.3.5,2,3,5,Had the vessel been enrolled in a Classification Society Condition Assessment Programme (CAP)?,Structural Assessment,Condition Assessment Program (CAP),Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,"Documentation, Pre-board"
2.4.1,2,4,1,"Were the senior officers familiar with the company procedure for reporting defects to vessel structure, machinery and equipment to shore-based management through the company defect reporting system and was evidence available to demonstrate that all defects had been reported accordingly?",Defect Management,Defect reporting system,Core,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Anywhere, Chief Engineer's Office, Documentation"
2.4.2,2,4,2,"Where defects existed to the vessel’s structure, machinery or equipment, had the vessel operator notified class, flag and/or the authorities in the port of arrival, as appropriate to the circumstances, and had short term certificates, waivers, exemptions and/or permissions to proceed the voyage been issued where necessary?",Defect Management,"Defect reporting to class, flag etc",Core,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Documentation
2.5.1,2,5,1,"Had the company Management of Change procedure been effectively implemented for changes affecting structure, machinery and equipment governed by Classification Society rules or statutory survey?",Management of Change,Management of Change,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Anywhere, Documentation"
2.6.1,2,6,1,"Were the Master, deck officers and engineer officers familiar with the vessel’s Ballast Water Management Plan and were records available to demonstrate that ballast handling had been conducted in accordance with the plan?",Statutory Management Plans,Ballast Water Management Plan,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Cargo Control Room
2.6.2,2,6,2,"Were the Master and officers familiar with the VOC Management Plan, and had the procedures for minimising VOC emissions set out in the Plan been implemented and documented as required?",Statutory Management Plans,VOC Management Plan.,Rotational 1,FALSE,FALSE,FALSE,TRUE,TRUE,None,Graduated,Graduated,Cargo Control Room
2.6.3,2,6,3,Were the Master and senior officers familiar with the contents and requirements of the Ship Energy Efficiency Management Plan (SEEMP) and had these been fully implemented?,Statutory Management Plans,Ship Energy Efficiency Management Plan (SEEMP).,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Chief Engineer's Office, Documentation"
2.7.1,2,7,1,Was the relevant content of the SMS manuals easily accessible to all personnel on board in a working language(s) understood by them?,Safety Management System,Availability of SMS content to all crew.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Cargo Control Room, Documentation, Engine Control Room, Interview - Rating"
2.7.2,2,7,2,"Did the SMS identify clear levels of authority and lines of communication between the Master, ship's officers, ratings and the company, and were all onboard personnel familiar with these arrangements as they related to their position?",Safety Management System,Communication lines with the company and DPA.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Bridge, Cargo Control Room, Engine Control Room, Interview - Rating, Interview Senior Officer"
2.8.1,2,8,1,"Was the OCIMF Harmonised Vessel Particulars Questionnaire (HVPQ) available through the OCIMF SIRE Programme database completed accurately to reflect the structure, outfitting, management and certification of the vessel?",General Information,HVPQ accurately completed.,Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,None,Binary,"Documentation, Pre-board"
2.8.2,2,8,2,"Were records of the most recent Port State Control inspection available onboard, and where deficiencies had been recorded had these been corrected and closed out in accordance with the company procedure for defects or non-conformities?",General Information,Last Port State Control Inspection.,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,None,Graduated,"Documentation, Pre-board"
3.1.1,3,1,1,"Were the officers and ratings suitably qualified to serve onboard the vessel and did the officer matrix posted on the OCIMF website accurately reflect the qualifications, experience and English Language capabilities of the officers onboard at the time of the inspection?",Crew Qualification,Crew qualifications and matrix verification.,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Binary,Documentation
3.1.2,3,1,2,"Were procedures and instructions contained within the Safety Management System and signs posted around the vessel available in the designated working language of the vessel or a language(s) understood by the crew and, were the Master, officers and ratings able to communicate verbally in the designated working language?",Crew Qualification,Designated working language.,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,None,Graduated,Anywhere
3.1.3,3,1,3,"Did the complement of officers and ratings onboard at the time of inspection meet or exceed the requirements of the Minimum Safe Manning Document and the declared company standard manning for routine operations, and had senior officers been relieved to ensure continuity of operational knowledge?",Crew Qualification,"Minimum, standard and enhanced manning levels.",Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,None,Binary,"Documentation, Pre-board"
3.2.1,3,2,1,Was a report available onboard which confirmed that a static navigational assessment by a suitably qualified and experienced company representative had been completed as declared through the pre-inspection questionnaire?,Crew Evaluation,Static navigational assessment,Rotational 1,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,"Bridge, Documentation"
3.2.2,3,2,2,Was a report available onboard which confirmed that a dynamic navigational assessment by a suitably qualified and experienced company representative had been completed while on passage as declared through the pre-inspection questionnaire?,Crew Evaluation,Dynamic navigational assessment by a company representative,Rotational 1,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,"Bridge, Documentation"
